Value of x  	 True Value of arctanx 	  Approximate value of arctanx 	  Difference
-0.19 		 -0.1877619465 		 -0.1877136667 		 0.0000482798
-0.18 		 -0.1780929382 		 -0.1780560000 		 0.0000369382
-0.17 		 -0.1683901571 		 -0.1683623333 		 0.0000278238
-0.16 		 -0.1586552622 		 -0.1586346667 		 0.0000205955
-0.15 		 -0.1488899476 		 -0.1488750000 		 0.0000149476
-0.14 		 -0.1390959415 		 -0.1390853333 		 0.0000106081
-0.13 		 -0.1292750040 		 -0.1292676667 		 0.0000073374
-0.12 		 -0.1194289260 		 -0.1194240000 		 0.0000049260
-0.11 		 -0.1095595268 		 -0.1095563333 		 0.0000031934
-0.10 		 -0.0996686525 		 -0.0996666667 		 0.0000019858
-0.09 		 -0.0897581742 		 -0.0897570000 		 0.0000011742
-0.08 		 -0.0798299857 		 -0.0798293333 		 0.0000006524
-0.07 		 -0.0698860016 		 -0.0698856667 		 0.0000003350
-0.06 		 -0.0599281551 		 -0.0599280000 		 0.0000001551
-0.05 		 -0.0499583957 		 -0.0499583333 		 0.0000000624
-0.04 		 -0.0399786871 		 -0.0399786667 		 0.0000000205
-0.03 		 -0.0299910049 		 -0.0299910000 		 0.0000000049
-0.02 		 -0.0199973340 		 -0.0199973333 		 0.0000000006
-0.01 		 -0.0099996667 		 -0.0099996667 		 0.0000000000
0.00 		 0.0000000000 		 0.0000000000 		 0.0000000000
0.01 		 0.0099996667 		 0.0099996667 		 0.0000000000
0.02 		 0.0199973340 		 0.0199973333 		 0.0000000006
0.03 		 0.0299910049 		 0.0299910000 		 0.0000000049
0.04 		 0.0399786871 		 0.0399786667 		 0.0000000205
0.05 		 0.0499583957 		 0.0499583333 		 0.0000000624
0.06 		 0.0599281551 		 0.0599280000 		 0.0000001551
0.07 		 0.0698860016 		 0.0698856667 		 0.0000003350
0.08 		 0.0798299857 		 0.0798293333 		 0.0000006524
0.09 		 0.0897581742 		 0.0897570000 		 0.0000011742
0.10 		 0.0996686525 		 0.0996666667 		 0.0000019858
0.11 		 0.1095595268 		 0.1095563333 		 0.0000031934
